id,name,category,type,calories,protein,fat,saturated_fat,carbs,sugar,fiber,sodium,vitamin_a,vitamin_c,calcium,iron,image_url,description
1,Momo,Dumpling,Traditional,250,12.5,8.2,2.1,35.6,3.2,2.8,680,120,8.5,45,2.3,momo.jpg,Steamed dumplings filled with meat or vegetables
2,Dal Bhat,Main Course,Traditional,420,18.3,6.8,1.5,72.4,5.6,8.9,580,350,12.3,95,4.5,dal-bhat.jpg,Traditional Nepali meal with lentil soup and rice
3,Sel Roti,Dessert,Traditional,380,6.2,18.5,4.2,52.3,22.6,1.2,320,50,2.1,35,1.8,sel-roti.jpg,Traditional ring-shaped sweet bread
4,Dhido,Main Course,Traditional,340,8.5,2.1,0.4,78.2,2.3,6.5,15,80,0.5,25,2.1,dhido.jpg,Traditional thick porridge made from buckwheat or millet
5,Gundruk,Side Dish,Traditional,35,3.2,0.3,0.1,6.8,1.2,3.5,950,450,85.3,120,3.8,gundruk.jpg,Fermented leafy green vegetables
6,Sukuti,Snack,Traditional,320,52.3,12.5,4.8,0.8,0.2,0,1250,20,0,15,5.2,sukuti.jpg,Dried meat jerky
7,Choyla,Appetizer,Traditional,280,35.6,14.2,3.5,3.2,1.1,0.8,680,85,3.2,20,3.5,choyla.jpg,Spiced grilled meat dish
8,Bara,Snack,Traditional,220,12.3,8.5,1.2,28.6,2.5,4.2,420,65,2.8,85,2.8,bara.jpg,Lentil pancake from Newari cuisine
9,Yomari,Dessert,Traditional,340,5.8,8.2,3.5,62.5,28.3,1.5,180,40,1.2,45,1.5,yomari.jpg,Sweet dumpling with molasses and sesame seeds
10,Kheer,Dessert,Traditional,280,8.5,9.2,5.2,42.3,25.6,0.5,120,180,2.5,250,0.8,kheer.jpg,Rice pudding with milk and sugar
11,Chatamari,Snack,Traditional,260,10.5,9.8,2.3,35.2,3.5,3.2,520,120,8.5,65,2.2,chatamari.jpg,Newari pizza made with rice flour
12,Juju Dhau,Dessert,Traditional,220,9.2,12.5,7.8,18.5,16.2,0,85,150,3.2,320,0.3,juju-dhau.jpg,King of yogurt from Bhaktapur
13,Aloo Tama,Side Dish,Traditional,180,4.5,8.2,1.8,25.6,3.8,4.5,620,95,18.5,35,1.8,aloo-tama.jpg,Potato and bamboo shoot curry
14,Kwati,Soup,Traditional,320,18.5,6.2,1.2,48.5,4.2,12.3,480,280,15.6,120,5.2,kwati.jpg,Mixed bean soup
15,Sinki,Side Dish,Traditional,42,2.8,0.5,0.1,8.2,1.5,3.8,890,380,62.3,95,3.2,sinki.jpg,Fermented radish tap root
16,Chhurpi,Snack,Traditional,380,42.5,22.3,14.2,8.5,6.2,0,920,250,0,850,0.5,chhurpi.jpg,Traditional yak cheese
17,Thukpa,Soup,Traditional,380,15.6,12.3,3.2,52.3,4.5,3.5,980,180,12.5,45,2.8,thukpa.jpg,Tibetan noodle soup
